,top 3,top 3 __aporte,EEM top 3,EEM top 3 __aporte,SPY top 3,SPY top 3 __aporte,top 5,top 5 __aporte,EEM top 5,EEM top 5 __aporte,SPY top 5,SPY top 5 __aporte,top 10,top 10 __aporte,EEM top 10,EEM top 10 __aporte,SPY top 10,SPY top 10 __aporte
2026-03-25,6695.191786127409,0.0,6726.967216151122,0.0,5995.325281578957,0.0,9732.544837603848,0.0,9790.599998463369,0.0,8762.169148942394,0.0,14669.226742336474,0.0,15483.813165737365,0.0,13812.71500025038,0.0
2026-03-26,6708.589323696198,0.0,6528.407262550213,0.0,5915.338701186601,0.0,9774.016026638807,0.0,9501.610767662236,0.0,8645.268745023237,0.0,14723.443483493165,0.0,15026.777309167062,0.0,13628.432782536704,0.0
2026-03-27,6690.105525182934,0.0,6511.502260616401,0.0,5827.781418988763,0.0,9729.326313124793,0.0,9477.00679582931,0.0,8517.303758837019,0.0,14622.606839619995,0.0,14987.8661798128,0.0,13426.708317492046,0.0
2026-03-30,6583.363013093005,0.0,6482.6318372550395,0.0,5830.072121222899,0.0,9793.200287725838,200.0,9634.988043866504,200.0,8720.651620629778,200.0,14632.12932562117,200.0,15121.413612559343,200.0,13631.985898878293,200.0
2026-03-31,6450.256486232645,0.0,6742.954006493646,0.0,6016.294043163681,0.0,9599.989288042438,0.0,10021.898954610035,0.0,8999.20332146689,0.0,14386.26581905745,0.0,15728.642172255317,0.0,14067.41355074519,0.0
2026-04-01,6612.06535918092,0.0,6728.148594293505,0.0,6001.813201125103,0.0,9838.819656661382,0.0,9999.894007681987,0.0,8977.542804072584,0.0,14727.392689735832,0.0,15694.10700703181,0.0,14033.554169528414,0.0
2026-04-02,6527.764135790583,0.0,6643.513796554361,0.0,5998.735216744035,0.0,9701.082496361127,0.0,9874.10323554136,0.0,8972.93873933326,0.0,14530.988858331759,0.0,15496.687530689804,0.0,14026.35716770627,0.0
2026-04-03,6555.72357392385,0.0,6671.618935793088,0.0,6024.112644064241,0.0,9742.476249640747,0.0,9915.875263837046,0.0,9010.898424579993,0.0,14596.951777135724,0.0,15562.245693753297,0.0,14085.695152586342,0.0
2026-04-06,6589.6612009854025,0.0,6751.49693989541,0.0,6069.28368945737,0.0,9809.88893901301,0.0,10034.596121941442,0.0,9078.46550471596,0.0,14690.813779603546,0.0,15748.569453747723,0.0,14191.3149529993,0.0
2026-04-07,6649.411008776677,0.0,6756.815367379753,0.0,6055.53103373523,0.0,9930.056318975807,0.0,10042.500779572829,0.0,9057.894212128575,0.0,14826.882701615526,0.0,15760.975239511614,0.0,14159.158230924822,0.0
2026-04-08,6822.276501324143,0.0,7037.184050838069,0.0,6132.504129481652,0.0,10211.573203963539,0.0,10459.206367798752,0.0,9173.030961418928,0.0,15245.497838834146,0.0,16414.964380498695,0.0,14339.138192405664,0.0
2026-04-09,6887.180621602677,0.0,7034.959989849431,0.0,6182.299382735401,0.0,10341.563168875377,0.0,10455.900796609098,0.0,9247.514955262883,0.0,15440.382931490753,0.0,16409.77652671445,0.0,14455.570403889833,0.0
2026-04-10,7021.517407552383,0.0,7048.35503156765,0.0,6161.35230902854,0.0,10536.965639998725,0.0,10475.80954201408,0.0,9216.18221555213,0.0,15683.889505003624,0.0,16441.02185596709,0.0,14406.591556380346,0.0
2026-04-13,7044.943811349293,0.0,7117.517383697163,0.0,6230.1467116185695,0.0,10652.897137956363,100.0,10678.60397066325,100.0,9419.085233896121,100.0,15761.854342905093,100.0,16702.350242218727,100.0,14667.447941435206,100.0
2026-04-14,7055.675874110234,0.0,7196.118626215154,0.0,6255.848447716728,0.0,10662.959271163021,0.0,10796.531542203044,0.0,9457.942560083351,0.0,15802.244008848287,0.0,16886.800158002017,0.0,14727.956769505212,0.0
2026-04-15,7182.441546707271,0.0,7172.874223601152,0.0,6288.888373997901,0.0,10871.400046473007,0.0,10761.657335837475,0.0,9507.894173772263,0.0,16058.888404083997,0.0,16832.25358892451,0.0,14805.74167909879,0.0
2026-04-16,7280.5914583896,0.0,7195.755847672424,0.0,6299.135327078517,0.0,11010.406858580665,0.0,10795.987255736567,0.0,9523.386092168672,0.0,16243.339242050519,0.0,16885.948842303802,0.0,14829.86577405597,0.0
