,top 3,top 3 __aporte,^KS11 top 3,^KS11 top 3 __aporte,SPY top 3,SPY top 3 __aporte,top 5,top 5 __aporte,^KS11 top 5,^KS11 top 5 __aporte,SPY top 5,SPY top 5 __aporte,top 10,top 10 __aporte,^KS11 top 10,^KS11 top 10 __aporte,SPY top 10,SPY top 10 __aporte
2025-12-15,3882.494684912255,0.0,3364.5365450516747,0.0,2989.9779709847853,0.0,4828.0962338717145,100.0,4219.926404692174,100.0,3858.6285813009345,100.0,6901.562185691241,0.0,6120.700128415334,0.0,5775.606320842804,0.0
2025-12-16,3795.6127650940443,0.0,3296.7146267144244,0.0,2977.5035340066293,0.0,4717.448253530967,0.0,4134.861641633153,0.0,3842.530061670807,0.0,6725.160085280147,0.0,5997.319799886369,0.0,5751.510010515721,0.0
2025-12-17,3785.251157649203,0.0,3335.705129867373,0.0,2946.021123161599,0.0,4725.952699716241,0.0,4183.764975445755,0.0,3801.901357555344,0.0,6730.618634680584,0.0,6068.250572805517,0.0,5690.696849737805,0.0
2025-12-18,3719.7026709497877,0.0,3281.770348919798,0.0,2970.080775874254,0.0,4633.380592117556,0.0,4116.117974676303,0.0,3832.950838358926,0.0,6603.0859202154525,0.0,5970.133457342053,0.0,5737.171801604666,0.0
2025-12-19,3838.980868953744,0.0,3307.0493945883045,0.0,3001.258175209326,0.0,4759.433050176987,0.0,4147.823890446141,0.0,3873.185918795094,0.0,6755.731321018254,0.0,6016.120610698139,0.0,5797.395785331133,0.0
2025-12-22,3978.5606936444215,100.0,3483.8153807002786,100.0,3124.4880665675605,100.0,4820.6227958196505,0.0,4244.106634722643,0.0,3903.1645753622106,0.0,6844.546589061433,0.0,6155.771815184097,0.0,5842.267924411449,0.0
2025-12-23,4009.8995732967396,0.0,3468.9568774565473,0.0,3123.334161940969,0.0,4851.744088492519,0.0,4226.005482592677,0.0,3901.7230977294266,0.0,6864.61116401896,0.0,6129.517394243686,0.0,5840.110316558854,0.0
2025-12-24,3961.4074646903114,0.0,3448.6776467237078,0.0,3126.465587806714,0.0,4794.433939224647,0.0,4201.300609258368,0.0,3905.6349291236093,0.0,6795.149070894639,0.0,6093.684750048363,0.0,5845.965557002519,0.0
2025-12-26,3921.2694778305618,0.0,3546.4491489345914,0.0,3128.8407527511304,0.0,4755.175053215614,0.0,4320.4092978297485,0.0,3908.6020262845445,0.0,6766.677691103168,0.0,6266.443347123328,0.0,5850.4067165378765,0.0
2025-12-29,3997.4949126715273,0.0,3641.4463707156165,0.0,3121.0341580969903,0.0,4846.092627712422,0.0,4436.138260241075,0.0,3898.849893116142,0.0,6899.165995198441,0.0,6434.2998941722935,0.0,5835.809695657951,0.0
2025-12-30,3976.40915902713,0.0,3652.666763937625,0.0,3117.1857785392726,0.0,4813.734871318735,0.0,4449.807338568686,0.0,3894.0424307600024,0.0,6845.447618150737,0.0,6454.125910422743,0.0,5828.613872223198,0.0
2026-01-02,4046.455143404445,0.0,3719.3812347966787,0.0,3105.6745476980436,0.0,4901.96152728829,0.0,4531.0812573800795,0.0,3879.6624019421415,0.0,6972.497844344066,0.0,6572.007891670707,0.0,5807.08980386979,0.0
2026-01-05,4237.407210509824,100.0,3970.541473649639,100.0,3238.592065996193,100.0,5108.434365276948,100.0,4815.229985862113,100.0,4020.7835355783864,100.0,7185.815806150787,0.0,6839.10239474409,0.0,5868.640034565909,0.0
2026-01-06,4339.822240574379,0.0,4013.384586510506,0.0,3254.992520139785,0.0,5211.716689334388,0.0,4867.187494203083,0.0,4041.145061405899,0.0,7301.710827792778,0.0,6912.897980990848,0.0,5898.359233468022,0.0
2026-01-07,4407.617386339486,0.0,4046.969798792639,0.0,3251.912033583818,0.0,5276.576650741087,0.0,4907.917586644057,0.0,4037.3205693508958,0.0,7366.7753531412645,0.0,6970.747195580614,0.0,5892.777095810704,0.0
