,top 3,top 3 __aporte,SPY top 3,SPY top 3 __aporte,top 5,top 5 __aporte,SPY top 5,SPY top 5 __aporte,top 10,top 10 __aporte,SPY top 10,SPY top 10 __aporte
2024-05-23,2132.442388433539,0.0,2018.148266072008,0.0,3550.897102308247,0.0,3397.673702563364,0.0,5860.660665243862,0.0,5635.308680930009,0.0
2024-05-24,2196.8340355649125,0.0,2033.8544400664296,0.0,3628.2394826574537,0.0,3424.115988913611,0.0,5975.893122940507,0.0,5679.165289556307,0.0
2024-05-28,2180.941645197498,0.0,2026.0545813858316,0.0,3594.7553698628312,0.0,3410.984458803408,0.0,5924.2987243411835,0.0,5657.385615549327,0.0
2024-05-29,2168.116818124518,0.0,2013.7251473677463,0.0,3563.843775347493,0.0,3390.227116820664,0.0,5912.598558216805,0.0,5622.957933638571,0.0
2024-05-30,2177.5027641753363,0.0,2009.6354462648658,0.0,3584.877429049027,0.0,3383.341859616224,0.0,5941.18791484785,0.0,5611.538193813248,0.0
2024-05-31,2146.144794532042,0.0,2021.6529513594749,0.0,3565.1523567833156,0.0,3403.574050539364,0.0,5891.369381959888,0.0,5645.094871447533,0.0
2024-06-03,2215.027015179151,100.0,2120.012384995636,100.0,3626.1425075738075,100.0,3500.8120586255714,100.0,5836.188686815369,0.0,5640.513890938218,0.0
2024-06-04,2170.023869948261,0.0,2111.8100906541986,0.0,3566.0120029926707,0.0,3487.2674722155452,0.0,5739.935301304947,0.0,5618.69083202692,0.0
2024-06-05,2236.4326380952557,0.0,2141.9201077143684,0.0,3661.1986980254806,0.0,3536.98864910852,0.0,5882.175089368118,0.0,5698.801670381586,0.0
2024-06-06,2194.1061975758425,0.0,2143.325129951688,0.0,3608.5403071242704,0.0,3539.3087859274633,0.0,5820.5393606849,0.0,5702.539878470731,0.0
2024-06-07,2178.397070587662,0.0,2136.808474440822,0.0,3584.3159997985063,0.0,3528.5477232299945,0.0,5773.816042466631,0.0,5685.201637339855,0.0
2024-06-10,2333.8727363817898,100.0,2266.388583364622,100.0,3656.1828584191853,0.0,3577.393853917156,0.0,6093.5793845122935,200.0,5963.90259987244,200.0
2024-06-11,2329.875624613589,0.0,2274.9321304053205,0.0,3649.5382472621363,0.0,3590.8794639746657,0.0,6085.804870958518,0.0,5986.384570873421,0.0
2024-06-12,2359.2405150404825,0.0,2298.727215090967,0.0,3713.5631548534566,0.0,3628.438949727765,0.0,6183.626641564022,0.0,6049.000297259684,0.0
2024-06-13,2348.5264086636603,0.0,2287.843970824695,0.0,3680.840720619389,0.0,3611.2602313761918,0.0,6149.375956500654,0.0,6020.361515167732,0.0
2024-06-14,2337.0400051288816,0.0,2305.078651014699,0.0,3658.1857794127354,0.0,3638.464409617514,0.0,6123.5213427442195,0.0,6065.713823570443,0.0
2024-06-17,2444.716111941025,100.0,2431.3840818994586,100.0,3794.3614179414503,100.0,3779.9863655003287,100.0,6390.792326878836,200.0,6334.935416370508,200.0
2024-06-18,2465.2887383651187,0.0,2428.822242925886,0.0,3822.3858353231803,0.0,3776.0035655540746,0.0,6425.140966135688,0.0,6328.260582655201,0.0
2024-06-20,2437.4746644437496,0.0,2419.778072444611,0.0,3783.976042322493,0.0,3761.94291534213,0.0,6362.278026741249,0.0,6304.696129667272,0.0
2024-06-21,2433.188824273664,0.0,2426.7190720750796,0.0,3784.9223908921026,0.0,3772.7338406268,0.0,6371.4712930138185,0.0,6322.780801978574,0.0
