,top 3,SPY top 3,top 5,SPY top 5,top 10,SPY top 10
2025-08-22,7045.493011570578,6298.943084535115,9971.58894750048,8867.179980521156,15492.464258377948,14219.182243062862
2025-08-25,6973.599854208338,6219.512817364858,9973.354426091262,8855.36400354737,15508.835283530907,14239.877012113564
2025-08-26,7099.334847891575,6294.553628276593,10159.64543645648,8962.207371389537,15823.912948268444,14411.6865974703
2025-08-27,7101.261916424186,6297.534195257419,10149.331669693316,8966.451113034138,15794.096825548717,14418.510750499592
2025-08-28,7139.793412436458,6315.2015227587,10215.729549079539,8991.605915441958,15906.200182975845,14458.960955867535
2025-08-29,7046.215777688597,6259.479053630696,10091.630866573938,8912.268069891223,15739.35475544825,14331.38165335711
2025-09-02,7006.695779091711,6194.877151139433,10125.57382582826,8920.28765620278,15670.807705319572,14183.472456409127
2025-09-03,7077.017739589357,6271.212483303983,10233.339585143136,9030.20640109901,15807.690608747702,14358.245911118813
2025-09-04,7134.693003882958,6310.37780794231,10321.089284834692,9086.602347846425,15906.94614389975,14447.916826247749
2025-09-05,7131.088146888294,6294.009589154339,10310.88733810762,9063.032999101306,15938.453196718578,14410.440993446615
2025-09-08,7243.61116097706,6379.169398282043,10421.3567470323,9141.663927814803,16055.284298888002,14476.463654857043
2025-09-09,7243.594145390149,6363.511935065548,10408.936684874088,9119.226011880815,16039.882784695932,14440.93164700005
2025-09-10,7360.271433678929,6418.109796135447,10553.506762979187,9197.467435789853,16229.596341501048,14564.832409319388
2025-09-11,7461.955993810442,6471.0671294093,10686.77698736907,9273.357902569622,16468.570127693274,14685.010266738183
2025-09-12,7426.93224915173,6451.640260054904,10599.331286785737,9245.518241993233,16357.287989881579,14640.92421876267
2025-09-15,7466.145558720858,6490.55523376617,10656.934777030167,9301.285315920437,16425.17803637414,14729.235277364216
2025-09-16,7387.138496337106,6461.096109631065,10570.167326212859,9259.068940145333,16288.982394481794,14662.382696217737
2025-09-17,7312.632195891382,6394.541781210146,10467.254078473474,9163.693309655053,16162.865823366014,14511.348720427986
2025-09-18,7451.227375176788,6448.901444913556,10660.300451087589,9241.593385006467,16481.072772766423,14634.708933452677
2025-09-19,7523.951028839174,6500.232650946166,10763.531565373181,9315.153531361246,16660.64408415607,14751.196565634258
2025-09-22,7782.520033906791,6661.095718034044,10927.03457042104,9402.373304061317,16871.118082838326,14889.3151706768
2025-09-23,7688.822718704766,6588.835331238677,10820.323098151855,9300.37520036999,16733.733599730505,14727.794045790642
2025-09-24,7590.163754981661,6560.431010180288,10677.054120719591,9260.281491865497,16517.681988796423,14664.302856600485
2025-09-25,7568.520680913675,6568.971261311781,10662.186800428486,9272.336359810319,16521.780624541934,14683.392582392784
2025-09-26,7715.579585313131,6653.005306185238,10864.553454969664,9390.953400248778,16829.71261584777,14871.23095495966
2025-09-29,7701.61760902206,6645.7923669028,10869.930582276163,9380.772080144128,16868.407523304442,14855.108123096963
2025-09-30,7677.713296445648,6657.626731732005,10839.834989739651,9397.476706627634,16830.827903495796,14881.561066463288
